iter	Logloss
0	0.6893015139
1	0.6850185543
2	0.6809173212
3	0.6761824543
4	0.6715723766
5	0.6665110089
6	0.6628562122
7	0.6594280723
8	0.6563231653
9	0.6519077047
10	0.64868332
11	0.64450464
12	0.6409712997
13	0.6379171994
14	0.6337270794
15	0.6308113686
16	0.6272231171
17	0.6232028982
18	0.6194883862
19	0.6161581058
20	0.6130216856
21	0.6094827665
22	0.6061720786
23	0.602540848
24	0.6000262184
25	0.5975811957
26	0.5936041595
27	0.5908456842
28	0.5877468906
29	0.5847283768
30	0.5825049837
31	0.5788936352
32	0.5762113626
33	0.5735234583
34	0.5707923023
35	0.5680027656
36	0.5649830118
37	0.562248412
38	0.5599102742
39	0.5578027035
40	0.5557615198
41	0.5541349305
42	0.5522674206
43	0.5500046147
44	0.5479376694
45	0.5462422104
46	0.5443280161
47	0.5426440441
48	0.5409338672
49	0.5391776456
50	0.5367677718
51	0.5350452327
52	0.5332408141
53	0.5314280588
54	0.5294304326
55	0.5280283786
56	0.5258857391
57	0.523674917
58	0.5223751704
59	0.5203952098
60	0.5181046041
61	0.5160232667
62	0.5145647406
63	0.5127392763
64	0.5112663005
65	0.5097819087
66	0.5079800492
67	0.5058850458
68	0.5041932354
69	0.502990705
70	0.501094479
71	0.4992723767
72	0.497639524
73	0.4960968565
74	0.4948240773
75	0.4934014423
76	0.4920599183
77	0.4906647331
78	0.4887036797
79	0.4872524278
80	0.4859121842
81	0.4844794296
82	0.4831265403
83	0.4820758054
84	0.480682617
85	0.4788462152
86	0.4778500336
87	0.4760353687
88	0.4743040565
89	0.4725834576
90	0.4714508038
91	0.469706549
92	0.468463707
93	0.4672243428
94	0.4661271385
95	0.4647092941
96	0.4636530454
97	0.4621673241
98	0.4613331915
99	0.4606400485
100	0.4591994375
101	0.4576293762
102	0.4563039855
103	0.455057391
104	0.4536746182
105	0.4525805912
106	0.4510099758
107	0.4496358673
108	0.4484281016
109	0.447495631
110	0.4464797614
111	0.4456632332
112	0.444755108
113	0.443633974
114	0.4426446697
115	0.4417987592
116	0.4410727328
117	0.4397474402
118	0.438756464
119	0.4376506802
120	0.4367473244
121	0.4358001562
122	0.4350399771
123	0.4341396812
124	0.4335220698
125	0.4327507827
126	0.4320051484
127	0.4311296958
128	0.4304792455
129	0.429660719
130	0.4288495381
131	0.4281392672
132	0.4272148584
133	0.4264243871
134	0.4254358185
135	0.4244925526
136	0.4236409102
137	0.4227176509
138	0.4219700821
139	0.4212001537
140	0.4205418348
141	0.4201196294
142	0.4190726347
143	0.4182226259
144	0.4176690362
145	0.4168346674
146	0.415932653
147	0.4151014373
148	0.4145629442
149	0.4138434777
150	0.4131583991
151	0.412741237
152	0.4120650101
153	0.4111905614
154	0.4103818261
155	0.409689046
156	0.4086243798
157	0.4077092715
158	0.4073299808
159	0.4067237699
160	0.4059060574
161	0.4053864745
162	0.4043313842
163	0.4037010604
164	0.4029091203
165	0.4019851751
166	0.4015043056
167	0.4008064826
168	0.4000122268
169	0.3992350321
170	0.3986425632
171	0.3978695192
172	0.3975188719
173	0.3968144864
174	0.3959914133
175	0.3952578068
176	0.3946470487
177	0.3939091265
178	0.3935469318
179	0.393017678
180	0.3922913255
181	0.3916772385
182	0.390955213
183	0.3904095498
184	0.3897446413
185	0.3893836797
186	0.3888354854
187	0.3882698287
188	0.3876406347
189	0.3869953822
