iter	Passed	Remaining
0	138	110286
1	226	90379
2	312	83011
3	399	79511
4	481	76492
5	567	75124
6	652	73974
7	737	73026
8	822	72260
9	908	71799
10	992	71223
11	1077	70750
12	1215	73604
13	1301	73071
14	1380	72235
15	1457	71417
16	1540	70939
17	1618	70299
18	1702	70001
19	1784	69599
20	1858	68934
21	1934	68427
22	2011	67941
23	2089	67567
24	2166	67172
25	2243	66785
26	2330	66707
27	2416	66617
28	2496	66377
29	2581	66266
30	2666	66151
31	2756	66160
32	2835	65910
33	2911	65589
34	2986	65265
35	3064	65038
36	3148	64935
37	3224	64660
38	3301	64411
39	3381	64254
40	3448	63837
41	3519	63516
42	3592	63251
43	3678	63204
44	3746	62857
45	3820	62627
46	3896	62426
47	3970	62201
48	4045	61999
49	4137	62062
50	4213	61882
51	4294	61775
52	4427	62405
53	4505	62248
54	4582	62068
55	4656	61862
56	4768	62160
57	4942	63230
58	5142	64588
59	5307	65453
60	5412	65565
61	5508	65568
62	5636	65935
63	5713	65701
64	5803	65626
65	5893	65547
66	5973	65349
67	6106	65736
68	6322	66983
69	6537	68179
70	6740	69207
71	6966	70437
72	7052	70231
73	7138	70030
74	7224	69838
75	7306	69603
76	7379	69291
77	7511	69528
78	7756	70788
79	8041	72372
80	8265	73366
81	8503	74457
82	8599	74286
83	8683	74014
84	8786	73914
85	8868	73630
86	8977	73572
87	9182	74296
88	9513	76002
89	9686	76416
90	9911	77225
91	10131	77965
92	10196	77514
93	10270	77139
94	10346	76781
95	10428	76476
96	10511	76181
97	10704	76681
98	10893	77132
99	11109	77769
100	11250	77863
101	11472	78507
102	11541	78101
103	11616	77743
104	11697	77424
105	11777	77111
106	11847	76731
107	11953	76589
108	12313	78063
109	12483	78305
110	12722	78972
111	12953	79574
112	13034	79244
113	13113	78912
114	13207	78668
115	13297	78410
116	13394	78192
117	13604	78630
118	13888	79480
119	14103	79921
120	14415	80894
121	14620	81249
122	14708	80956
123	14813	80759
124	14915	80541
125	14991	80190
126	15073	79877
127	15220	79908
128	15472	80478
129	15722	81032
130	15940	81407
131	16157	81765
132	16246	81478
133	16330	81164
134	16414	80855
135	16497	80548
136	16587	80271
137	16708	80153
138	16915	80437
139	17125	80733
140	17310	80903
141	17520	81186
142	17607	80895
143	17688	80579
144	17773	80289
145	17865	80026
146	17942	79703
147	18128	79865
148	18435	80544
149	18648	80809
150	18883	81161
151	19111	81477
152	19189	81146
153	19271	80839
154	19344	80498
155	19417	80160
156	19496	79847
157	19637	79793
158	19854	80042
159	20080	80323
160	20324	80665
161	20525	80835
162	20622	80593
163	20692	80247
164	20780	79973
165	20870	79711
166	20962	79457
167	21071	79267
168	21298	79523
169	21551	79867
170	21805	80208
171	22044	80486
172	22157	80305
173	22265	80105
174	22354	79836
175	22459	79629
176	22715	79952
177	22892	79996
178	23077	80061
179	23262	80126
180	23528	80465
181	23776	80734
182	23908	80610
183	24034	80463
184	24151	80285
185	24345	80365
186	24591	80613
187	24863	80939
188	25029	80916
189	25316	81280
190	25591	81596
191	25785	81652
192	25868	81357
193	25953	81071
194	26046	80810
195	26142	80560
196	26227	80279
197	26451	80422
198	26735	80744
199	26959	80877
200	27146	80899
201	27318	80874
202	27418	80634
203	27502	80348
204	27576	80040
205	27653	79739
206	27738	79462
207	27830	79211
208	28044	79303
209	28237	79333
210	28404	79291
211	28626	79399
212	28718	79145
213	28807	78884
214	28896	78624
215	28988	78375
216	29053	78056
217	29236	78054
218	29685	78754
219	30606	80690
220	31285	81964
221	31548	82140
222	31632	81847
223	31740	81618
224	31816	81310
225	31908	81042
226	31996	80766
227	32190	80759
228	32425	80851
229	32615	80830
230	32846	80908
231	32996	80785
232	33118	80594
233	33190	80280
234	33279	80011
235	33356	79716
236	33438	79433
237	33513	79136
238	33703	79112
239	33941	79196
240	34118	79138
241	34362	79231
242	34435	78933
243	34519	78660
244	34597	78374
245	34686	78114
246	34752	77806
247	34903	77688
248	35161	77806
249	35361	77794
250	35605	77877
251	35828	77912
252	35919	77660
253	36011	77410
254	36095	77146
255	36178	76879
256	36261	76615
257	36457	76589
258	36755	76774
259	36968	76780
260	37209	76843
261	37458	76918
262	37543	76657
263	37653	76447
264	37735	76182
265	37851	75986
266	38031	75920
267	38306	76040
268	38572	76141
269	38900	76359
270	39085	76295
271	39192	76080
272	39349	75960
273	39459	75751
274	39600	75600
275	39729	75427
276	39944	75418
277	40270	75616
278	40553	75728
279	40858	75879
280	41087	75888
281	41298	75859
282	41387	75609
283	41461	75331
284	41546	75074
285	41622	74804
286	41694	74526
287	41859	74417
288	42162	74550
289	42471	74690
290	43109	75403
291	43318	75362
292	43449	75184
293	43530	74920
294	43619	74671
295	43704	74416
296	43790	74163
297	43871	73904
298	44086	73871
