"","Dt","DE_SIN","Gn","DNA","Exp","Imp","years","meses","dias_sem","year_month","dia_mes"
"1",2006-01-01,103969449.13,104411348.6,75870,524629.52,6860.05,2006,"1","domingo",ene. 2006,31
"2",2006-01-02,124859700.69,130588514.69,77810,5806624,NA,2006,"1","lunes",ene. 2006,31
"3",2006-01-03,131987472.58,137768470.58,106330,5887328,NA,2006,"1","martes",ene. 2006,31
"4",2006-01-04,131996306.47,137607230.47,274260,5885184,NA,2006,"1","miércoles",ene. 2006,31
"5",2006-01-05,131109277.95,136700137.95,270260,5861120,NA,2006,"1","jueves",ene. 2006,31
"6",2006-01-06,130348366.63,135877968.63,335070,5864672,NA,2006,"1","viernes",ene. 2006,31
"7",2006-01-07,124483981.72,129973799.72,405030,5894848,NA,2006,"1","sábado",ene. 2006,31
"8",2006-01-08,111550126.58,117171966.58,286800,5908640,NA,2006,"1","domingo",ene. 2006,31
"9",2006-01-09,112691880.33,118120596.33,481460,5910176,NA,2006,"1","lunes",ene. 2006,31
"10",2006-01-10,131741627.74,137588071.74,23060,5869504,NA,2006,"1","martes",ene. 2006,31
"11",2006-01-11,135909463.86,141730361.86,52030,5872928,NA,2006,"1","miércoles",ene. 2006,31
"12",2006-01-12,136359168.67,142169700.67,26460,5836992,NA,2006,"1","jueves",ene. 2006,31
"13",2006-01-13,136702179.2,142392557.2,132150,5822528,NA,2006,"1","viernes",ene. 2006,31
"14",2006-01-14,129395416.96,135133268.96,134820,5872672,NA,2006,"1","sábado",ene. 2006,31
"15",2006-01-15,115965679,121713293,160930,5908544,NA,2006,"1","domingo",ene. 2006,31
"16",2006-01-16,137108986.75,142882748.75,84670,5858432,NA,2006,"1","lunes",ene. 2006,31
"17",2006-01-17,140312624.98,146061416.98,94920,5843712,NA,2006,"1","martes",ene. 2006,31
"18",2006-01-18,140635675.56,146162273.56,340090,5866688,NA,2006,"1","miércoles",ene. 2006,31
"19",2006-01-19,140157483.84,145960161.84,70410,5873088,NA,2006,"1","jueves",ene. 2006,31
"20",2006-01-20,140252824.1,146124384.1,24280,5895840,NA,2006,"1","viernes",ene. 2006,31
"21",2006-01-21,132607104.09,138205038.09,247570,5845504,NA,2006,"1","sábado",ene. 2006,31
"22",2006-01-22,118124021.6,123853287.6,201230,5930496,NA,2006,"1","domingo",ene. 2006,31
"23",2006-01-23,140451074.01,146186672.01,166290,5901888,NA,2006,"1","lunes",ene. 2006,31
"24",2006-01-24,143000512.89,148833180.89,30660,5863328,NA,2006,"1","martes",ene. 2006,31
"25",2006-01-25,145114559.04,150185986.7,168400,5241272.12,1444.46,2006,"1","miércoles",ene. 2006,31
"26",2006-01-26,145511227.94,148747656.77,69870,3317082.03,10783.2,2006,"1","jueves",ene. 2006,31
"27",2006-01-27,144943811.27,149591321.62,129400,4776910.35,NA,2006,"1","viernes",ene. 2006,31
"28",2006-01-28,135207475.98,136871738.29,116720,1780982.31,NA,2006,"1","sábado",ene. 2006,31
"29",2006-01-29,118479739.96,119358493.97,196430,1075302,117.99,2006,"1","domingo",ene. 2006,31
"30",2006-01-30,141056573.67,144552289.49,42300,3538287.23,271.41,2006,"1","lunes",ene. 2006,31
"31",2006-01-31,144550221.48,150193219.48,88970,5731968,NA,2006,"1","martes",ene. 2006,31
"32",2006-02-01,142772491.14,148332707.14,34120,5594336,NA,2006,"2","miércoles",feb. 2006,28
"33",2006-02-02,142015775.62,147844083.62,21260,5849568,NA,2006,"2","jueves",feb. 2006,28
"34",2006-02-03,143832568.97,149509946.97,109470,5786848,NA,2006,"2","viernes",feb. 2006,28
"35",2006-02-04,135464910.95,136605386.51,172660,1315286.24,2150.68,2006,"2","sábado",feb. 2006,28
"36",2006-02-05,119088690.73,119965668.9,81490,963383.73,4915.56,2006,"2","domingo",feb. 2006,28
"37",2006-02-06,139296386.57,142404254.69,310930,3460274.82,41476.7,2006,"2","lunes",feb. 2006,28
"38",2006-02-07,142345231.07,146355135.86,43580,4105360.33,51875.54,2006,"2","martes",feb. 2006,28
"39",2006-02-08,141942338.34,146420553.78,82100,4560315.44,NA,2006,"2","miércoles",feb. 2006,28
"40",2006-02-09,143077902.83,147310983.73,97910,4330990.9,NA,2006,"2","jueves",feb. 2006,28
"41",2006-02-10,143818835.09,148181374.24,150800,4513339.15,NA,2006,"2","viernes",feb. 2006,28
"42",2006-02-11,135673758.64,141369378.64,13180,5708800,NA,2006,"2","sábado",feb. 2006,28
"43",2006-02-12,120917861.59,126563631.59,167990,5813760,NA,2006,"2","domingo",feb. 2006,28
"44",2006-02-13,142880306.69,148716402.69,35840,5871936,NA,2006,"2","lunes",feb. 2006,28
"45",2006-02-14,143654774.99,149149515.98,113300,5608040.99,NA,2006,"2","martes",feb. 2006,28
"46",2006-02-15,143065430.88,148683406.88,126760,5784000,39264,2006,"2","miércoles",feb. 2006,28
"47",2006-02-16,144932812.58,150124724.58,541240,5790848,57696,2006,"2","jueves",feb. 2006,28
"48",2006-02-17,144958186.03,150573148.03,248270,5863232,NA,2006,"2","viernes",feb. 2006,28
"49",2006-02-18,135644024.41,141490076.41,34940,5880992,NA,2006,"2","sábado",feb. 2006,28
"50",2006-02-19,120611150.02,126420568.02,87350,5896768,NA,2006,"2","domingo",feb. 2006,28
"51",2006-02-20,141049466.93,146847178.93,59600,5857312,NA,2006,"2","lunes",feb. 2006,28
"52",2006-02-21,143269306.92,148791780.94,190310,5712784.02,NA,2006,"2","martes",feb. 2006,28
"53",2006-02-22,143129190.53,148946696.53,36510,5854016,NA,2006,"2","miércoles",feb. 2006,28
"54",2006-02-23,144985100.9,150535250.9,286490,5836640,NA,2006,"2","jueves",feb. 2006,28
"55",2006-02-24,145194888.25,150919744.25,109320,5834176,NA,2006,"2","viernes",feb. 2006,28
"56",2006-02-25,136184892.03,141956238.03,86510,5857856,NA,2006,"2","sábado",feb. 2006,28
"57",2006-02-26,120801199.08,126579481.08,105590,5883872,NA,2006,"2","domingo",feb. 2006,28
"58",2006-02-27,138798145.64,144583411.64,44110,5829376,NA,2006,"2","lunes",feb. 2006,28
"59",2006-02-28,141443958.94,146206523.86,42970,4805534.92,NA,2006,"2","martes",feb. 2006,28
"60",2006-03-01,144122240.58,148668440.15,431650,5499345.57,521496,2006,"3","miércoles",mar. 2006,31
"61",2006-03-02,145904066.84,151397254.84,365980,5859168,NA,2006,"3","jueves",mar. 2006,31
"62",2006-03-03,145695791,151410645,144250,5859104,NA,2006,"3","viernes",mar. 2006,31
"63",2006-03-04,136575403.04,142411307.04,37600,5873504,NA,2006,"3","sábado",mar. 2006,31
"64",2006-03-05,120991824.55,126794254.55,114210,5916640,NA,2006,"3","domingo",mar. 2006,31
"65",2006-03-06,142051517.85,147802288.88,21910,5831313.03,58632,2006,"3","lunes",mar. 2006,31
"66",2006-03-07,142052265.08,147053992.04,130390,5870428.96,738312,2006,"3","martes",mar. 2006,31
"67",2006-03-08,140700687.87,146264044.6,67950,5862834.73,231528,2006,"3","miércoles",mar. 2006,31
"68",2006-03-09,141569468.41,147014521.71,37510,5835867.3,353304,2006,"3","jueves",mar. 2006,31
"69",2006-03-10,142159381.93,147854693.77,174260,5869571.84,NA,2006,"3","viernes",mar. 2006,31
"70",2006-03-11,133224346.23,138044942.23,210540,5031136,NA,2006,"3","sábado",mar. 2006,31
"71",2006-03-12,114873412.07,115608782.93,1875930,2674372.86,63072,2006,"3","domingo",mar. 2006,31
"72",2006-03-13,137831238.44,139910187.18,180980,2259928.74,NA,2006,"3","lunes",mar. 2006,31
"73",2006-03-14,140376166.63,144022340.95,165450,3811624.32,NA,2006,"3","martes",mar. 2006,31
"74",2006-03-15,141851475.25,141794465.67,110100,715856.18,662765.76,2006,"3","miércoles",mar. 2006,31
"75",2006-03-16,142861877.95,145025816.06,280560,2444498.11,NA,2006,"3","jueves",mar. 2006,31
"76",2006-03-17,142377943.47,146452191.06,104440,4266119.59,87432,2006,"3","viernes",mar. 2006,31
"77",2006-03-18,134270373.68,135960279.93,224170,2180620.25,266544,2006,"3","sábado",mar. 2006,31
"78",2006-03-19,117682039.18,119029848.37,80400,1429351.09,1141.9,2006,"3","domingo",mar. 2006,31
"79",2006-03-20,120115843.29,121606417.6,46450,1540351.75,3327.44,2006,"3","lunes",mar. 2006,31
"80",2006-03-21,140579502.34,145195422.34,31120,4955680,308640,2006,"3","martes",mar. 2006,31
"81",2006-03-22,142305866.48,146561664.48,153610,4961888,552480,2006,"3","miércoles",mar. 2006,31
"82",2006-03-23,142500050.13,146516308.13,132670,4985280,836352,2006,"3","jueves",mar. 2006,31
"83",2006-03-24,142189632.9,147877128.9,189240,5876736,NA,2006,"3","viernes",mar. 2006,31
"84",2006-03-25,134545930.99,140222330.99,145360,5821760,NA,2006,"3","sábado",mar. 2006,31
"85",2006-03-26,120225663.66,123075251.01,124940,2978613.2,4085.85,2006,"3","domingo",mar. 2006,31
"86",2006-03-27,141291104.83,146467820.83,69460,5246176,NA,2006,"3","lunes",mar. 2006,31
"87",2006-03-28,142923315.05,148255709.05,29230,5692128,330504,2006,"3","martes",mar. 2006,31
"88",2006-03-29,144870547.05,150372893.05,91750,5895968,301872,2006,"3","miércoles",mar. 2006,31
"89",2006-03-30,145129627.65,150433823.65,138140,5813376,371040,2006,"3","jueves",mar. 2006,31
"90",2006-03-31,144678570.94,150235630.94,55900,5890880,277920,2006,"3","viernes",mar. 2006,31
"91",2006-04-01,136117156.51,141615426.51,44010,5912192,369912,2006,"4","sábado",abr. 2006,30
"92",2006-04-02,120205000.93,125430680.93,726480,5952160,NA,2006,"4","domingo",abr. 2006,30
"93",2006-04-03,141679407.14,147562340.93,10730,5893663.79,NA,2006,"4","lunes",abr. 2006,30
"94",2006-04-04,144293252.77,149930843.58,62120,5699710.81,NA,2006,"4","martes",abr. 2006,30
"95",2006-04-05,141796213.53,144132801.95,162720,2500230.19,921.77,2006,"4","miércoles",abr. 2006,30
"96",2006-04-06,142333335.9,144747270.15,34110,2448044.25,NA,2006,"4","jueves",abr. 2006,30
"97",2006-04-07,143163989.2,144369573.31,417430,1623278.59,264.48,2006,"4","viernes",abr. 2006,30
"98",2006-04-08,136443520.31,137672202.09,78310,1673897.6,366905.82,2006,"4","sábado",abr. 2006,30
"99",2006-04-09,121826636.58,123371602.23,162290,1726575.65,19320,2006,"4","domingo",abr. 2006,30
"100",2006-04-10,138591597.47,140363577.87,71960,2222729.08,378788.68,2006,"4","lunes",abr. 2006,30
"101",2006-04-11,139649147.28,140465520.32,772170,1588543.04,NA,2006,"4","martes",abr. 2006,30
"102",2006-04-12,136851613.27,139293970.75,193000,2635357.48,NA,2006,"4","miércoles",abr. 2006,30
"103",2006-04-13,113266490.69,116203875.34,101490,3038874.65,NA,2006,"4","jueves",abr. 2006,30
"104",2006-04-14,104775343.38,108134123.81,16180,3463265.96,88305.53,2006,"4","viernes",abr. 2006,30
"105",2006-04-15,118098864.72,123787286.72,16410,5704832,NA,2006,"4","sábado",abr. 2006,30
"106",2006-04-16,116525216.49,122417698.49,11710,5904192,NA,2006,"4","domingo",abr. 2006,30
"107",2006-04-17,141201467.34,146853418.37,32090,5684041.03,NA,2006,"4","lunes",abr. 2006,30
"108",2006-04-18,143325628.28,148993764.28,202520,5870656,NA,2006,"4","martes",abr. 2006,30
"109",2006-04-19,142741619.03,148453171.68,91250,5802802.65,NA,2006,"4","miércoles",abr. 2006,30
"110",2006-04-20,142626422.26,148309195.86,87530,5891263.6,120960,2006,"4","jueves",abr. 2006,30
"111",2006-04-21,143659268.65,149520144.65,24440,5885316,NA,2006,"4","viernes",abr. 2006,30
